,AMC,SAM,TZP,CFZ,FEP,FOX,CAZ,CRO,CXM,ETP,IPM,MEM,CHL,FOS,AMK,GEN,TOB,CIP,LVX,NIT,MIN,TET,SXT,CTX,CZA,AZM,AMP,MXF,NOR,NAL,STR,AZI,XNL,SUL,DOX,KAN,COL
2021-1004,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,R,,,,,I
2021-1008,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1011,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1013,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1019,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1024,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-103,,R,,,,,S,,,S,,S,R,,S,,,R,,,,R,S,R,,,R,,,S,R,S,,,,,I
2021-1034,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1036,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1042,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1054,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1063,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1065,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1067,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1074,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-113,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,S,R,S,,R,,,S,R,S,,,,,I
2021-132,,I,,,,,R,,,S,,S,S,,S,,,R,,,,R,R,R,S,,R,,,R,R,R,,,,,I
2021-133,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-136,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-139,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-146,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,S,R,S,,R,,,S,R,S,,,,,I
2021-147,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-163,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-169,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,S,R,S,,R,,,S,R,S,,,,,I
2021-17,,R,,,,,R,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,S,R,R,,,,,I
2021-176,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-179,,S,,,,,S,,,S,,S,R,,S,,,S,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-181,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-186,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,,,R,,,S,S,S,,,,,I
2021-188,,R,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,R,S,,R,,,R,R,S,,,,,I
2021-20,,R,,,,,R,,,S,,S,R,,S,,,R,,,,R,R,R,S,,R,,,R,R,S,,,,,I
2021-200,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,S,R,S,,R,,,S,R,S,,,,,I
2021-21,,R,,,,,R,,,S,,S,R,,S,,,R,,,,R,R,R,S,,R,,,R,R,S,,,,,I
2021-22,,R,,,,,R,,,S,,S,R,,S,,,R,,,,R,R,R,S,,R,,,S,R,S,,,,,I
2021-223,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-227,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,R,S,,R,,,S,R,S,,,,,I
2021-228,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,R,R,S,,,,,I
2021-231,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-234,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-24,,R,,,,,S,,,S,,S,R,,S,,,R,,,,R,S,S,S,,R,,,R,R,S,,,,,I
2021-249,,I,,,,,S,,,S,,S,R,,S,,,S,,,,R,S,R,S,,R,,,S,R,S,,,,,R
2021-25,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,R,S,,R,,,S,R,S,,,,,I
2021-266,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-269,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-270,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,,,R,,,S,R,S,,,,,I
2021-276,,I,,,,,S,,,S,,S,R,,S,,,S,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-28,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-284,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-299,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-302,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-31,,I,,,,,R,,,S,,S,S,,S,,,S,,,,R,S,R,S,,R,,,S,R,S,,,,,I
2021-318,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-33,,I,,,,,R,,,S,,S,S,,S,,,R,,,,R,R,R,S,,R,,,S,R,R,,,,,I
