,AAC(3)-IVa_APH(3')-Ia_APH(4)-Ia_ISEc59@IS6@nan,AAC(3)-IVa_APH(4)-Ia_ISAba1@IS4@IS10_ISEc59@IS6@nan,AAC(3)-IVa_APH(4)-Ia_sul2_IS1006@IS6@nan_ISAba1@IS4@IS10_ISEc59@IS6@nan,AAC(3)-IVa_APH(4)-Ia_sul2_ISAba1@IS4@IS10_ISEc59@IS6@nan,AAC(3)-IVa_APH(4)-Ia_sul2_ISAba1@IS4@IS10_ISEc59@IS6@nan_ISVsa3@ISCR@nan,AAC(6')-Ib10_Mrx_QnrB17_aadA16_arr-3_dfrA27_mphA_qacEdelta1_sul1_IS6100@IS6@nan,aadA16_arr-3_dfrA27_qacEdelta1_sul1_IS6100@IS6@nan,aadA2_qacEdelta1_sul1_IS1326@IS21@nan,aadA7_qacEdelta1_sul1_IS6100@IS6@nan,APH(3'')-Ib_APH(6)-Id_floR_sul2_tet(A)_ISVsa3@ISCR@nan,APH(3'')-Ib_APH(6)-Id_IS1133@IS3@IS3,APH(3'')-Ib_APH(6)-Id_IS1A@IS1@nan,APH(3'')-Ib_APH(6)-Id_sul2_IS26@IS6@nan,APH(3'')-Ib_APH(6)-Id_sul2_IS5075@IS110@IS1111,APH(3'')-Ib_APH(6)-Id_sul2_tet(A)_IS26@IS6@nan,APH(3'')-Ib_APH(6)-Id_TEM-1_IS1133@IS3@IS3,APH(3'')-Ib_APH(6)-Id_TEM-243_IS1133@IS3@IS3,APH(3')-IIa_IS1294@IS91@nan,CMY-59_ISEc9@IS1380@nan,CTX-M-55_ISEc9@IS1380@nan,CTX-M-65_IS903B@IS5@IS903,DHA-1_QnrB4_sul1_ISAs29@IS21@nan,floR_IS1006@IS6@nan,floR_IS1006@IS6@nan_IS5075@IS110@IS1111,floR_ISVsa3@ISCR@nan,floR_sul2_ISVsa3@ISCR@nan,floR_tet(A)_ISVsa3@ISCR@nan,LAP-2_QnrS1_TEM-1_ISKpn19@ISKra4@ISAzba1,Mrx_mphA_IS6100@IS6@nan,Mrx_OXA-10_QnrVC4_aadA_cmlA5_dfrA14_mphA_qacL_IS6100@IS6@nan,QnrS1_IS26@IS6@nan_ISKpn19@ISKra4@ISAzba1,QnrS1_ISKpn19@ISKra4@ISAzba1,QnrS1_TEM-150_ISKpn19@ISKra4@ISAzba1,QnrS1_TEM-150_tet(A)_ISKpn19@ISKra4@ISAzba1,sul2_ISAba1@IS4@IS10,sul2_ISVsa3@ISCR@nan,TEM-1_ISRor7@Tn3@nan,TEM-1_Tn2@Tn3@nan,tet(A)_IS26@IS6@nan,tet(B)_IS10L@IS4@IS10,tet(B)_IS10L@IS4@IS10_IS1R@IS1@nan,tet(B)_IS10L@IS4@IS10_IS1R@IS1@nan_IS26@IS6@nan_ISSty2@IS3@IS3,tet(B)_IS1R@IS1@nan,tet(B)_IS1R@IS1@nan_ISSty2@IS3@IS3,tet(M)_ISKpn26@IS5@IS5
2013-213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013-214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-0408,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-0438,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
