,Min,Max,Code,Group
Access to clean fuels and technologies for cooking (% of population),0,1,0,Socio-economic
"Agriculture, forestry, and fishing, value added (% of GDP)",0,1,1,Environmental
Current health expenditure per capita (current US$),0,1,2,Socio-economic
"Current health expenditure per capita, PPP (current international $)",0,1,3,Socio-economic
"GDP per capita, PPP (current international $)",0,1,4,Socio-economic
Gini index,0,1,5,Socio-economic
Livestock production index (2014-2016 = 100),0,1,6,Environmental
People using at least basic drinking water services (% of population),0,1,7,Socio-economic
People using safely managed sanitation services (% of population),0,1,8,Socio-economic
People with basic handwashing facilities including soap and water (% of population),0,1,9,Socio-economic
Population density (people per sq. km of land area),0,1,10,Socio-economic
Fluoroquinolones,0,1,11,Antibiotic Consumption
Chloramphenicols,0,1,12,Antibiotic Consumption
Broad spectrum penicillins,0,1,13,Antibiotic Consumption
Aminoglycosides,0,1,14,Antibiotic Consumption
Carbapenems,0,1,15,Antibiotic Consumption
Cephalosporins,0,1,16,Antibiotic Consumption
Glycopeptides,0,1,17,Antibiotic Consumption
Lipopeptides,0,1,18,Antibiotic Consumption
Macrolides,0,1,19,Antibiotic Consumption
Glycylcyclines,0,1,20,Antibiotic Consumption
Monobactams,0,1,21,Antibiotic Consumption
Narrow spectrum penicillins,0,1,22,Antibiotic Consumption
Others,0,1,23,Antibiotic Consumption
Oxazolidinones,0,1,24,Antibiotic Consumption
Phosphonics,0,1,25,Antibiotic Consumption
Polymyxins,0,1,26,Antibiotic Consumption
Tetracyclines,0,1,27,Antibiotic Consumption
Trimethoprim,0,1,28,Antibiotic Consumption
All Antibiotics,0,1,29,Antibiotic Consumption
Carbapenems-checkpoint,0,1,30,Antibiotic Consumption
Glycopeptides-checkpoint,0,1,31,Antibiotic Consumption
Narrow spectrum penicillins-checkpoint,0,1,32,Antibiotic Consumption
Fluoroquinolones-checkpoint,0,1,33,Antibiotic Consumption
Chloramphenicols-checkpoint,0,1,34,Antibiotic Consumption
Agricultural land (% of land area),0,1,35,Environmental
Arable land (% of land area),0,1,36,Environmental
Control of Corruption: Estimate,0,1,37,Governance
Government Effectiveness: Estimate,0,1,38,Governance
"Hospital beds (per 1,000 people)",0,1,39,Socio-economic
"Immunization, DPT (% of children ages 12-23 months)",0,1,40,Health-related
Income share held by fourth 20%,0,1,41,Socio-economic
Income share held by highest 10%,0,1,42,Socio-economic
Income share held by highest 20%,0,1,43,Socio-economic
Income share held by lowest 10%,0,1,44,Socio-economic
Income share held by lowest 20%,0,1,45,Socio-economic
Income share held by second 20%,0,1,46,Socio-economic
Income share held by third 20%,0,1,47,Socio-economic
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0,1,48,Socio-economic
"Life expectancy at birth, total (years)",0,1,49,Socio-economic
Political Stability and Absence of Violence/Terrorism: Estimate,0,1,50,Governance
Population ages 65 and above (% of total population),0,1,51,Socio-economic
"Population, total",0,1,52,Socio-economic
Poverty gap at $2.15 a day (2017 PPP) (%),0,1,53,Socio-economic
Poverty gap at $3.65 a day (2017 PPP) (%),0,1,54,Socio-economic
Poverty gap at $6.85 a day (2017 PPP) (%),0,1,55,Socio-economic
