year,Access to clean fuels and technologies for cooking (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)",Current health expenditure per capita (current US$),"Current health expenditure per capita, PPP (current international $)","GDP per capita, PPP (current international $)",Gini index,Livestock production index (2014-2016 = 100),People using at least basic drinking water services (% of population),People using safely managed sanitation services (% of population),People with basic handwashing facilities including soap and water (% of population),Population density (people per sq. km of land area),Fluoroquinolones,Chloramphenicols,Broad spectrum penicillins,Aminoglycosides,Carbapenems,Cephalosporins,Glycopeptides,Lipopeptides,Macrolides,Glycylcyclines,Monobactams,Narrow spectrum penicillins,Others,Oxazolidinones,Phosphonics,Polymyxins,Tetracyclines,Trimethoprim,All Antibiotics,Carbapenems-checkpoint,Glycopeptides-checkpoint,Narrow spectrum penicillins-checkpoint,Fluoroquinolones-checkpoint,Chloramphenicols-checkpoint,Agricultural land (% of land area),Arable land (% of land area),Control of Corruption: Estimate,Government Effectiveness: Estimate,"Hospital beds (per 1,000 people)","Immunization, DPT (% of children ages 12-23 months)",Income share held by fourth 20%,Income share held by highest 10%,Income share held by highest 20%,Income share held by lowest 10%,Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Life expectancy at birth, total (years)",Political Stability and Absence of Violence/Terrorism: Estimate,Population ages 65 and above (% of total population),"Population, total",Poverty gap at $2.15 a day (2017 PPP) (%),Poverty gap at $3.65 a day (2017 PPP) (%),Poverty gap at $6.85 a day (2017 PPP) (%),Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Proportion of people living below 50 percent of median income (%),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Rule of Law: Estimate,Urban population (% of total population),Voice and Accountability: Estimate,Incidence of tuberculosis (per 100 000 population per year),Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate),Prevalence of obesity among adults,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),All antibacterials,J01A: tetracyclines,J01B: amphenicols,J01C: B-lactam antibacterials,J01D: other B-lactam antibacterials,J01E: sulfonamides and trimethoprim,"J01F: macrolides, lincosamides and streptogramins",J01G: aminoglycoside antibacterials,J01M: quinolone antibacterials,J01X: other antibacterials,Diabetes Prevalence (proportion),Age-standardized SEV for Unsafe sanitation,Air pollution,Total Fertility Rate,Number of Licensed Doctors(per capita),Average Temperature,Average Precipitation,Number of Inpatients in Medical Institutions(10000 persons),Crude Mortality Rate of Infectious Disease(not including Respiratory Tuberculosis) in Rural Areas(1/100000),Total Health Expenditure(100 million yuan),Deaths_Allages_allpathogens_resistancetooneormore,Deaths_Allages_allpathogens_MDRSalmonella,Deaths_Allages_nontypoidalsalmonella_resistancetooneormore,DALY_Allages_NontyphoidalSal_fluoroquinolones,DALY_Allages_allpathogens_resistancetooneormore
2006,0,1,0,0,0,0.893939394,0.015753938,0,0,,0,0,0.287936781,0,0.131967427,0,0,0,0,0,0,0,1,0,0,0.299042038,1,0.02067212,0.090928792,0,0,0,1,0,0.287936781,0.763171127,0.969531979,0.127610156,0.049688502,0,0,1,0.863636364,0.888888889,0.083333333,0.043478261,0.090909091,0.142857143,1,0,0.275688933,0,0,1,1,1,1,1,1,1,0.936708861,0.935496114,0.669256457,0,0,0,1,0,0,0,0.410958904,,,0,,,,,,,,0,1,1,0.500651532,0,0.613504961,0.05175206,,,0,1,0.281181029,1,1,1
2007,0.045801527,0.89404904,0.027365177,0.024725243,0.058638479,0.893939394,0,0.079162079,0.057056983,,0.067742947,0.046570749,0.915666001,0.03007371,0,0.061010382,0.08185592,0.099582696,0,0.018636209,0,0.093472852,0.694205596,0.074440452,0,0.086846904,0.912198199,0,0,0.03500804,0.061010382,0.099582696,0.694205596,0.046570749,0.915666001,0.842117571,0.965048258,0,0.209652882,0.02295082,0,1,0.863636364,0.888888889,0.083333333,0.043478261,0.090909091,0.142857143,0.888135593,0.063188832,0.36868349,0.028322708,0.067742254,1,1,1,1,1,1,1,0.936708861,0.935654776,0.773907381,0.14422718,0.0675909,0.095903226,0.916666667,0.125,0.038461538,0.113636364,0.616438356,,,0,,,,,,,,0.052650199,0.905663869,0.953814555,0.485241848,0.018103533,0.63910134,0.036759292,,,0.022927065,0.71118547,0.277073099,0.825264742,0.805853343,0.836292202
2008,0.106870229,0.872524201,0.087478802,0.078435486,0.104466045,0.893939394,0.160165041,0.155790196,0.116663787,,0.134547622,0.176110838,0.624121802,0.094934988,0.315420659,0.141727851,0.257393233,0.191939529,0,0.14921242,0,0.301247851,0.628303801,0.247898323,0.119406778,0.11472452,0.316797614,0.101142913,0.048388994,0.157485685,0.141727851,0.191939529,0.628303801,0.176110838,0.624121802,0.921059534,0.984520631,0.115825512,0.209384639,0.072131148,0.666666667,1,0.863636364,0.888888889,0.083333333,0.043478261,0.090909091,0.142857143,0.77309322,0.090129807,0.386269507,0.053572345,0.134547069,1,1,1,1,1,1,1,0.936708861,0.935315675,0.836512867,0.310585233,0.135638838,0.17116193,0.833333333,0.25,0.080769231,0.25,0.808219178,,,0,,,,,,,,0.111231957,0.818339174,0.906847964,0.432777838,0.055778452,0.227909043,0.067556548,0,,0.062159539,0.817229586,0.392985038,0.600259168,0.555227911,0.797653379
2009,0.170483461,0.723793817,0.140372711,0.159315877,0.147843106,1,0.277944486,0.229744846,0.178710772,,0.199723842,0.130648057,0.169494537,0.138781639,0.263469282,0.235256047,0.374657367,0.30294131,0,0.216088146,0,0.593547526,0.549785141,0.345222782,0.270738525,0.354243951,0.047255835,0.222847407,0.023364703,0.221608803,0.235256047,0.30294131,0.549785141,0.130648057,0.169494537,1,1,0.126706566,0.120271747,0.124590164,1,0.75,1,1,0,0,0,0,0.657627119,0.205486162,0.483576638,0.079203171,0.199723702,0.695652174,0.782312925,0.840390879,0.773255814,0.831202046,0.866156788,1,1,0.935374785,0.503200596,0.333044678,0.203737558,0.165380096,0.805555556,0.333333333,0.125,0.40625,0.945205479,,,0,,,,,,,,0.1743594,0.737295128,0.855596333,0.31130519,0.111067619,0.431709559,0.007197999,0.117343587,0.223097113,0.101989358,0.796343894,0.63099133,0.360763386,0.311660397,0.706497866
2010,0.226463104,0.63698636,0.181292291,0.192770525,0.204895079,1,0.361590398,0.30109113,0.243179282,,0.263321505,0.160234115,0.313065107,0.154980037,0.269726017,0.372982752,0.539992576,0.484829218,0,0.19662406,0,0.753844655,0.253090879,0.473584843,0.426482478,0.281961345,0.034466938,0.283855337,0.040544442,0.271601074,0.372982752,0.484829218,0.253090879,0.160234115,0.313065107,0.899595147,0.899996718,0.046415897,0.118555273,0.183606557,1,0.75,1,1,0,0,0,0,0.544279661,0.268185158,0,0.108242757,0.263321492,0.695652174,0.782312925,0.840390879,0.773255814,0.831202046,0.866156788,1,1,0.935371674,0.407594438,0.319834192,0.272090189,0.236722381,0.666666667,0.458333333,0.171153846,0.588068182,1,,,0,,,,,,,,0.237097419,0.654723758,0.813692899,0.045027341,0.144241119,0.227886282,0.093817226,0.178037769,0,0.134293756,0.844053484,0.379160984,0.335841415,0.253774299,0.622500335
2011,0.295165394,0.595810295,0.2670655,0.260653121,0.26714478,0.803030303,0.375468867,0.368944039,0.309420597,,0.335652123,0.07855707,0.04561413,0.19072597,0.277775918,0.43529271,0.503336496,0.61608562,0.09760274,0.141231042,0,1,0.129209315,0.531510635,0.670308854,0.018052609,0.026610082,0.137810525,0.301025053,0.245740855,0.43529271,0.61608562,0.129209315,0.07855707,0.04561413,0.799987897,0.784022292,0.134217401,0.108437027,0.255737705,1,0.75,0.818181818,0.833333333,0.083333333,0.130434783,0.181818182,0.214285714,0.54809322,0.342640216,0.129577297,0.143103938,0.33565226,0.456521739,0.605442177,0.726384365,0.575581395,0.698209719,0.797323136,0.728915663,0.82278481,0.935471226,0.666123879,0.346277265,0.337345115,0.385276223,0.638888889,0.583333333,0.219230769,0.758522727,0.95890411,,,0,,,,,,,,0.304999183,0.585195323,0.776272284,0,0.167433213,0.032800691,0,0.252415917,0.104986877,0.192127354,0.715977876,0.401957917,0.256400253,0.184250995,0.522252394
2012,0.366412214,0.577963641,0.344585302,0.343193139,0.323642572,0.772727273,0.510502626,0.433857792,0.377595614,,0.425991394,0.643136421,0.012428981,0.954229512,0.872194457,0.516643616,0.906488414,0.72162259,0.099315068,0.876354663,0.070340957,0.995476129,0.633155943,0.433933062,1,1,0.036072719,0.552638107,0.970490969,0.900169966,0.516643616,0.72162259,0.633155943,0.643136421,0.012428981,0.699981845,0.67603343,0.255640916,0.02460188,0.360655738,1,0.875,0.75,0.777777778,0.083333333,0.086956522,0.227272727,0.285714286,0.479661017,0.413421504,0.278628993,0.183825975,0.425991711,0.347826087,0.503401361,0.631921824,0.476744186,0.595907928,0.707456979,0.578313253,0.873417722,0.935536558,0.560750321,0.217417866,0.401025797,0.384126371,0.583333333,0.75,0.271153846,0.877840909,0.883561644,,,0,,,,,,,,0.378898806,0.539108192,0.73668957,0.228517645,0.225462374,0,0.056602579,0.421766641,0.409448819,0.242112549,0.437411875,1,0.16994668,0.116044596,0.415325652
2013,0.440203562,0.530285078,0.420245136,0.407946781,0.370334674,0.393939394,0.543885971,0.496215473,0.447863577,,0.515294545,0.700516436,0,0.961336484,1,0.593649977,0.92817478,0.789915076,0.191780822,0.834487597,0.257837225,0.583968063,0.366834777,0.720640835,0.822795629,0.551614967,0.012215404,0.591015584,0.865929024,0.904738524,0.593649977,0.789915076,0.366834777,0.700516436,0,0.599975781,0.599986856,0.386648649,0,0.452459016,1,0.5,0.477272727,0.5,0.416666667,0.47826087,0.5,0.5,0.420338983,0.477100171,0.266831968,0.231170705,0.515295046,0.02173913,0.238095238,0.439739414,0.151162791,0.378516624,0.575525813,0.475903614,0.481012658,0.935561446,0.363042151,0.244708684,0.464401788,0.406728276,0.5,0.875,0.325,0.946022727,0.787671233,1,0,0,1,1,1,1,1,0.647058824,1,0.453016032,0.465707881,0.694326143,0.34181641,0.29738722,0.543954291,0.671362771,0.511645033,1,0.289141628,0.426254105,0.754517934,0,0,0.379284552
2014,0.51653944,0.446717043,0.47678283,0.452313052,0.411686723,0.318181818,0.612528132,0.556085067,0.520206983,,0.600354565,0.767222468,0.291648482,1,0.787138416,0.772674812,1,0.990705279,0.979452055,0.881294688,0.587866484,0.509128771,0.140111204,1,0.373836309,0.153086313,0.028732007,0.746659134,0.871332668,0.962265117,0.772674812,0.990705279,0.140111204,0.767222468,0.291648482,0.49996973,0.538314299,0.415822003,0.442342094,0.53442623,1,0.75,0.340909091,0.407407407,0.416666667,0.47826087,0.590909091,0.642857143,0.395974576,0.542003429,0.316786719,0.285804589,0.60035524,0,0.183673469,0.358306189,0.093023256,0.304347826,0.479923518,0.397590361,0.506329114,0.935583223,0.364187047,0.427390334,0.527676214,0.457727941,0.416666667,1,0.384615385,0.982954545,0.684931507,0.916666667,0.333333333,0,1,0.882352941,1,0.875,0.75,0.705882353,0.833333333,0.522104344,0.389302562,0.649478455,0.467190857,0.340982484,0.554173292,0.655296176,0.592747055,0.989501312,0.337409377,0.414220336,0.756739919,0.276654405,0.174296193,0.34804859
2015,0.58524173,0.375130354,0.529138558,0.502479838,0.441779609,0.227272727,0.668417104,0.613451923,0.594540509,,0.679296586,1,1,0.951029611,0.684393721,1,0.942347785,1,1,1,1,0.490076824,0,0.757690935,0.983714108,0,0,1,1,1,1,1,0,1,1,0.399963678,0.479835974,0.475773684,0.518609619,0.613114754,1,0.75,0.272727273,0.333333333,0.5,0.565217391,0.636363636,0.714285714,0.376271186,0.605682096,0.246173063,0.353373525,0.679297415,,0.115646259,0.283387622,0.029069767,0.227621483,0.395793499,0.307228916,0.443037975,0.935558335,0.268907057,0.408826493,0.59069673,0.30513395,0.361111111,,0.446153846,1,0.575342466,0.953703704,0.333333333,0,1,0.862745098,1,0.958333333,0.625,1,0.75,0.576427366,0.363215745,0.600996959,0.775104876,0.406301986,0.615826733,0.861212438,0.633282186,0.942257218,0.412421681,0.502729352,0.733140912,0.406448556,0.247644075,0.355460347
