Trait,Chicken (farms),Environment (farms),Food Workers,Symptomatic humans,Retail meat (Chicken or pork),Non-food Workers,,Serovars
AAC(2')-IIa,0,0,2,0,1,0,,1
AAC(3)-Id,1,0,19,0,0,3,,1
AAC(3)-IId,61,13,204,11,18,17,,25
AAC(3)-IIe,0,0,8,0,0,0,,5
AAC(3)-IIg,0,0,0,0,1,0,,1
AAC(3)-IVa,23,6,334,37,119,40,,32
AAC(6')-Iaa,65,17,996,99,270,122,,28
AAC(6')-Ib10,0,0,474,0,104,64,,51
AAC(6')-Ib7,0,0,1,0,0,0,,1
AAC(6')-Ib-cr6,71,14,44,44,18,2,,12
AAC(6')-IIa,0,0,3,0,0,0,,2
AAC(6')-IIc,0,0,0,0,1,0,,1
AAC(6')-Il,0,0,0,0,2,0,,1
AAC(6')-Iy,44,8,685,37,96,79,,61
aadA,2,1,545,49,182,74,,37
aadA16,16,0,249,4,7,29,,35
aadA17,28,8,22,0,1,2,,4
aadA2,8,2,525,45,127,65,,38
aadA22,36,7,43,0,1,5,,10
aadA3,0,0,1,0,0,2,,2
aadA5,22,5,13,1,11,0,,6
aadA7,27,8,62,0,0,8,,3
aadA8b,0,0,2,0,0,1,,1
ANT(2'')-Ia,0,0,14,0,2,1,,2
APH(3')-Ia,91,20,409,35,110,49,,41
APH(3'')-Ib,19,6,674,73,171,71,,51
APH(3')-IIa,12,1,8,1,10,0,,4
APH(4)-Ia,26,8,332,37,118,40,,32
APH(6)-Id,54,13,667,75,171,68,,51
armA,0,1,5,0,7,0,,4
arr-2,28,9,136,0,4,10,,24
arr-3,65,14,527,45,121,65,,51
CARB-3,0,0,0,1,0,0,,1
CARB-58,0,0,79,0,0,8,,3
catA1,0,0,4,1,7,1,,5
catB11,0,0,4,0,0,0,,2
catB3,55,14,275,41,116,35,,31
catII_from_Escherichia_coli_K-12,0,0,107,5,1,10,,16
cmlA1,2,1,520,44,167,71,,33
cmlA4,0,0,0,0,0,0,,1
cmlA5,0,0,39,0,2,1,,11
cmlA6,0,0,1,0,0,0,,1
CMY-2,0,0,1,0,0,0,,1
CMY-59,0,0,33,2,4,4,,9
CTX-M-123,0,1,0,2,1,0,,3
CTX-M-125,0,0,0,2,0,0,,2
CTX-M-130,0,0,1,5,0,0,,3
CTX-M-14,0,0,33,5,8,1,,14
CTX-M-15,0,0,0,0,1,0,,1
CTX-M-199,2,3,0,0,0,0,,1
CTX-M-27,2,0,2,0,1,0,,2
CTX-M-3,0,0,1,0,2,0,,2
CTX-M-55,87,14,124,13,6,7,,22
CTX-M-64,0,0,9,0,0,0,,3
CTX-M-65,8,2,36,2,10,3,,12
CTX-M-9,1,0,27,0,0,3,,1
dfrA1,1,0,95,1,5,11,,8
dfrA12,6,1,542,48,179,75,,35
dfrA14,45,10,282,5,6,30,,35
dfrA17,22,5,18,1,15,0,,10
dfrA27,16,0,260,4,7,29,,35
DHA-1,0,0,11,5,2,0,,6
DHA-15,0,0,1,0,1,0,,1
Erm(42),0,0,4,0,1,1,,4
ErmB,1,0,6,0,2,3,,7
floR,97,21,1200,58,200,140,,59
FosA3,33,8,32,9,12,3,,10
FosA7,17,0,349,9,65,48,,30
LAP-2,16,0,46,0,2,3,,10
linG,67,18,97,1,4,8,,16
MCR-1.1,0,0,22,3,9,0,,8
MCR-9.1,0,0,1,0,2,0,,2
mef(B),0,0,4,2,1,1,,4
mphA,98,20,245,10,25,22,,36
mphE,0,1,11,0,1,2,,7
msrE,0,1,11,0,1,2,,7
NDM-1,0,0,1,1,0,0,,2
NDM-5,0,0,2,0,0,0,,1
NDM-9,6,1,0,0,0,0,,1
oqxA,13,2,321,22,117,39,,26
oqxB,13,2,321,20,113,39,,27
OXA-1,55,14,278,41,124,37,,32
OXA-10,1,0,62,0,2,5,,15
QepA2,0,0,14,1,3,1,,3
QnrA1,0,0,18,0,1,2,,5
QnrA7,0,0,0,0,1,0,,1
QnrB17,16,0,181,4,5,26,,29
QnrB4,0,0,13,5,3,0,,6
QnrB5,1,0,2,0,0,0,,3
QnrD1,0,0,2,0,0,0,,2
QnrS1,61,10,734,22,79,97,,46
QnrS2,0,0,152,3,24,20,,20
rmtB,26,7,7,0,1,2,,4
SAT-2,0,0,1,0,0,0,,1
sul1,87,21,503,53,136,58,,50
sul2,24,6,970,77,245,121,,54
sul3,43,12,659,46,170,84,,48
TEM-1,40,8,766,72,227,78,,44
TEM-116,0,0,1,0,0,0,,1
TEM-135,0,1,1,0,0,0,,2
TEM-150,0,0,141,0,4,29,,14
TEM-181,0,0,0,0,0,1,,1
TEM-238,0,0,2,0,0,0,,2
TEM-240,0,0,4,0,0,0,,1
TEM-30,0,0,1,0,0,0,,1
TEM-34,0,0,1,0,0,0,,1
tet(A),91,18,1028,41,139,130,,63
tet(B),0,0,303,57,193,29,,12
tet(C),0,0,1,0,0,0,,1
tet(D),0,0,16,1,1,3,,7
tet(M),1,0,268,13,77,36,,16
tet(X4),0,0,1,0,0,0,,1
gyrA_83,52,14,248,14,41,28,,32
gyrA_87,56,16,270,62,136,29,,27
AAC(3)-IId_ISCfr1@IS1182@nan,0,0,4,0,0,0,,3
AAC(3)-IId_TEM-1_ISCfr1@IS1182@nan,0,0,110,7,2,8,,8
AAC(3)-IIg_AAC(6')-IIc_IS1247@IS1380@nan,0,0,0,0,1,0,,1
AAC(3)-IVa_APH(3'')-Ib_APH(3')-Ia_APH(4)-Ia_APH(6)-Id_IS1A@IS1@nan_ISEc59@IS6@nan,0,1,1,0,0,0,,2
AAC(3)-IVa_APH(3'')-Ib_APH(3')-Ia_APH(4)-Ia_APH(6)-Id_ISEc59@IS6@nan,1,0,14,0,1,2,,6
AAC(3)-IVa_APH(3'')-Ib_APH(4)-Ia_APH(6)-Id_sul2_tet(A)_ISAba1@IS4@IS10_ISEc59@IS6@nan,4,0,0,0,0,0,,1
AAC(3)-IVa_APH(3')-Ia_APH(4)-Ia_ISEc59@IS6@nan,1,0,22,0,1,2,,2
AAC(3)-IVa_APH(4)-Ia_CTX-M-14_FosA3_floR_sul2_IS1006@IS6@nan_IS26@IS6@nan_ISAba1@IS4@IS10_ISEc59@IS6@nan_ISVsa3@ISCR@nan,0,0,1,0,0,0,,1
AAC(3)-IVa_APH(4)-Ia_floR_sul2_IS1006@IS6@nan_ISAba1@IS4@IS10_ISEc59@IS6@nan_ISVsa3@ISCR@nan,0,0,14,1,3,1,,5
AAC(3)-IVa_APH(4)-Ia_floR_sul2_ISAba1@IS4@IS10_ISEc59@IS6@nan_ISVsa3@ISCR@nan,0,0,1,0,0,1,,2
AAC(3)-IVa_APH(4)-Ia_ISAba1@IS4@IS10_ISEc59@IS6@nan,5,2,66,14,37,4,,8
AAC(3)-IVa_APH(4)-Ia_ISEc59@IS6@nan,4,1,26,4,6,6,,12
AAC(3)-IVa_APH(4)-Ia_sul2_IS1006@IS6@nan_ISAba1@IS4@IS10_ISEc59@IS6@nan,0,0,3,1,0,2,,4
AAC(3)-IVa_APH(4)-Ia_sul2_IS26@IS6@nan_ISAba1@IS4@IS10_ISEc59@IS6@nan,0,0,0,0,1,0,,1
AAC(3)-IVa_APH(4)-Ia_sul2_ISAba1@IS4@IS10_ISEc59@IS6@nan,8,2,172,13,36,22,,11
AAC(3)-IVa_APH(4)-Ia_TEM-240_tet(M)_Tn2@Tn3@nan,0,0,4,0,0,0,,1
AAC(3)-IVa_ISAba1@IS4@IS10_ISEc59@IS6@nan,0,0,0,0,1,0,,1
AAC(3)-IVa_sul2_ISAba1@IS4@IS10_ISEc59@IS6@nan,0,0,1,0,0,0,,1
aadA_cmlA1_sul3_ISSen9@IS1@nan,0,0,1,0,0,0,,1
aadA22_IS1A@IS1@nan,0,0,0,0,0,1,,1
ANT(2'')-Ia_aadA2_IS4321R@IS110@IS1111,0,0,4,0,0,0,,1
APH(3'')-Ib_APH(3')-Ia_APH(6)-Id_IS1A@IS1@nan,0,0,1,0,0,0,,1
APH(3'')-Ib_APH(3')-Ia_APH(6)-Id_IS1R@IS1@nan,0,0,3,0,0,0,,3
APH(3'')-Ib_APH(3')-Ia_APH(6)-Id_tet(A)_IS1R@IS1@nan,0,0,3,1,1,0,,2
APH(3'')-Ib_APH(6)-Id_floR_sul2_ISVsa3@ISCR@nan,0,0,0,1,0,0,,1
APH(3'')-Ib_APH(6)-Id_floR_sul2_tet(A)_IS26@IS6@nan_ISVsa3@ISCR@nan,0,0,1,0,0,0,,1
APH(3'')-Ib_APH(6)-Id_floR_sul2_tet(A)_IS5075@IS110@IS1111_ISVsa3@ISCR@nan,0,0,0,1,0,0,,1
APH(3'')-Ib_APH(6)-Id_floR_sul2_tet(A)_ISVsa3@ISCR@nan,0,0,79,3,4,6,,13
APH(3'')-Ib_APH(6)-Id_IS1133@IS3@IS3,1,0,6,0,0,1,,2
APH(3'')-Ib_APH(6)-Id_IS1A@IS1@nan_IS903B@IS5@IS903,0,0,5,0,0,1,,1
APH(3'')-Ib_APH(6)-Id_IS903B@IS5@IS903,1,0,51,4,0,6,,4
APH(3'')-Ib_APH(6)-Id_QnrS1_tet(A)_IS26@IS6@nan_IS903B@IS5@IS903_ISKpn19@ISKra4@ISAzba1,0,0,0,0,0,1,,1
APH(3'')-Ib_APH(6)-Id_sul2_IS1S@IS1@nan,0,0,1,0,0,0,,1
APH(3'')-Ib_APH(6)-Id_sul2_IS26@IS6@nan,0,0,5,3,4,2,,2
APH(3'')-Ib_APH(6)-Id_sul2_IS5075@IS110@IS1111,0,0,1,0,0,0,,1
APH(3'')-Ib_APH(6)-Id_sul2_tet(A)_IS26@IS6@nan,0,0,38,3,3,6,,3
APH(3'')-Ib_APH(6)-Id_TEM-1_IS1133@IS3@IS3,0,0,1,4,0,0,,2
APH(3'')-Ib_APH(6)-Id_TEM-1_sul2_IS26@IS6@nan_Tn2@Tn3@nan,0,0,3,1,0,2,,1
APH(3'')-Ib_APH(6)-Id_TEM-1_sul2_IS4321R@IS110@IS1111,0,0,1,0,0,0,,1
APH(3'')-Ib_APH(6)-Id_TEM-1_sul2_IS5075@IS110@IS1111,2,1,8,0,0,0,,4
APH(3'')-Ib_APH(6)-Id_TEM-1_sul2_ISKpn19@ISKra4@ISAzba1,0,0,1,0,0,0,,1
APH(3'')-Ib_APH(6)-Id_TEM-1_sul3_IS26@IS6@nan_IS903B@IS5@IS903,0,0,1,0,0,0,,1
APH(3'')-Ib_APH(6)-Id_TEM-135_IS1133@IS3@IS3_Tn2@Tn3@nan,0,0,1,0,0,0,,1
APH(3'')-Ib_APH(6)-Id_TEM-150_floR_sul2_tet(A)_ISVsa3@ISCR@nan,0,0,2,0,0,0,,2
APH(3'')-Ib_APH(6)-Id_tet(A)_IS1133@IS3@IS3,0,0,7,0,0,0,,2
APH(3'')-Ib_APH(6)-Id_tet(A)_IS1133@IS3@IS3_IS26@IS6@nan,0,0,7,0,0,3,,1
APH(3'')-Ib_sul2_ISAba1@IS4@IS10,0,0,1,0,0,0,,1
APH(3')-IIa_IS1294@IS91@nan,0,0,4,0,3,0,,2
APH(3')-IIa_IS1294@IS91@nan_IS26@IS6@nan,0,0,1,0,0,0,,1
APH(4)-Ia_ISEc59@IS6@nan,3,2,0,0,0,0,,1
APH(4)-Ia_sul2_IS1006@IS6@nan_ISAba1@IS4@IS10_ISEc59@IS6@nan,0,0,0,0,1,0,,1
