ARG,Score
aac(3)-II,4
aac(3)-VI,4
aac(6')-i,4
aadE,4
ANT(6)Ia,4
"ant(2"")-I",4
aph(3')-I,4
aph(3')-III,4
aph(6)-I,4
rmtF,4
rmtG,4
bacA,4
blaZ,4
CMY-4,4
CMY-6,4
CMY-111,4
CTX-N-2,4
CTX-M-15,4
CTX-M-24,4
CTX-M-55,4
CTX-M-129,4
GES-11,4
IMP-4,4
KPC-2,4
KPC-4,4
KPC-6,4
mecA,4
mecR1,4
NDM-5,4
NDM-6,4
OXA-1,4
OXA-4,4
OXA-10,4
SHV-1,4
SHV-5,4
TEM-1,4
TEM-156,4
TEM-169,4
VEB-3,4
VIM-1,4
VIM-2,4
catA,4
catB,4
cmlA,4
floR,4
MCR-1,4
MCR-1.1,4
ermB,4
ermC,4
ermT,4
lnuA,4
lnuB,4
mphA,4
mphB,4
msrA,4
emr-qacA,4
mdtE,4
mdtL,4
mepA,4
norA,4
TolC,4
qnrA,4
qnrB,4
qnrS,4
tetL,4
tetM,4
dfrA1,4
dfrA5,4
dfrA12,4
dfrA14,4
dfrA15,4
dfrA17,4
dfrA25,4
dfrB1,4
vanY,4
